kalimat_id,kata,sense,kalimat
1053608,sarung,1201,"Tidak ada cantelan pada bagian menyapu sayap, dan sehingga semua persenjataan yang dipasang pada perut antara intake udara dan pada tiang di bawah sarung tangan sayap."
1053614,sarung,1201,Dia menyarankan untuk membuat sebuah permainan di dalam ruangan dengan bola yang dibuat dari sarung tinju yang dilempar tadi.
1053615,sarung,1201,"Dia mengambil sarung tinju itu dan mengikatnya dengan erat memakai sebuah tali, supaya menyerupai bola."
1053618,sarung,1201,"Para petarung menggunakan ""kepo"" sebagai sarung tinjunya dan terbuat dari anyaman ijuk, petarung hanya boleh memukul lawannya dengan tangan yang memakai ""kepo"" tersebut sedangkan tangan satunya hanya digunakan untuk menangkis."
1053624,sarung,1202,Dengan menggunakan sarung menghadap ke atas.
1053630,sarung,1201,"Ski air membutuhkan peralatan antara lain papan ski, tali penarik beserta peganggan, sarung tangan, pelampung, dan perahu penarik."
1053631,sarung,1201,"Perusahaan ini menawarkan parfum pria dan wanita, jaket, setelan dan rompi, kemeja, sweater, kaos, produk olahan kulit, syal, sepatu untuk pria dan wanita, celana dan produk jeans, rok, gaun, kaos kaki, topi dan sarung tangan, handuk untuk wanita, blazer, pakaian renang dan celana pendek, dasi, dan pakaian dalam pria."
1053632,sarung,1201,"Peralatan pelindung seperti sarung tangan PVC atau karet, kaca mata pelindung, jas laboratorium, dan sepatu digunakan untuk meminimalkan risiko saat menangani asam butirat."
1053634,sarung,1201,"Baik yang dilaksanakan di daerah Karo sendiri, maupun di luar daerah Karo, selebihnya kerap juga ditemukan dalam bentuk sovenir berupa tas, dasi, gorden, ikat pinggang, sarung bantal, dan lain sebagainya."
1053636,sarung,1201,"Peri Rumah memakai pakaian seperti sarung bantal dan serbet teh, karena mereka tidak diizinkan memiliki pakaian."
1053638,sarung,1201,"Sarung tangan kabel/wired glove (kadang-kadang disebut ""dataglove"" atau ""cyberglove"") adalah sebuah perangkat input untuk interaksi manusia-komputer dikenakan seperti sarung tangan."
1053640,sarung,1201,"Gerakan-gerakan ini kemudian diinterpretasikan oleh perangkat lunak yang menyertai sarung tangan, sehingga setiap satu gerakan dapat berarti banyak hal."
1053644,sarung,1202,"Pada 2011, Siti dan suaminya memberikan zakat kepada lebih dari 200 lansia, orangtua tunggal dan orang berkebutuhan khusus di Tikam Batu sebagai bagian dari tradisi mereka disamping menyediakannya dengan sarung, batik dan beberapa ""Duit Raya"" (uang pemberian pada Idul Fitri) untuk anak-anak."
1053645,sarung,1201,"Bulu kucing digunakan untuk dibuat menjadi mantel, sarung tangan, topi, sepatu, selimut dan boneka mainan."
1053648,sarung,1201,Argon dapat digunakan sebagai gas inert dalam jalur Schlenk dan kotak sarung tangan.
1053650,sarung,1202,"Harga sarung tenun pagatan tergantung dari jenis dan motifnya, semakin bagus bahan dan motifnya semakin mahal harganya."
1053651,sarung,1202,"Busana pengantin laki-laki pada masa awal terdiri atas semacam sarung dari kain tenunan tangan (""Dhoti""), selendang untuk menutupi bahu, dan saputangan merah pada kepalanya (""Leis"")."
1053653,sarung,1202,Industri sarung tenun menjadi alternative selain pertanian.
1053654,sarung,1202,"Profesi yang banyak digeluti masyarakat Beji dewasa ini adalah kerajinan tenun khususnya sarung byur, banyak juragan tenun muda yang bermunculan."
1053663,sarung,1202,"Sementara itu mandi dengan sepenuhnya telanjang bulat juga kurang lazim, karena orang-orang biasanya tetap mengenakan kain jarik (kain batik atau sarung) untuk melilit tubuh dan menutupi kemaluannya saat mandi."
1053669,sarung,1201,"Lofofor dan mulut terpasang pada tabung fleksibel, yang disebut ""invert"" karena bisa berubah dalam-keluar dan ditarik ke polypide itu, agak seperti jari sarung tangan karet; dalam posisi ini lofofor terletak di dalam invert dan dilipat seperti jari-jari payung."
1053670,sarung,1201,Ditengahnya terdapat gambar seekor kura-kura hijau yang sedang menggunakan sarung tinju.
1053673,sarung,1201,"Dia adalah landak antropomorfik biru dengan mata hijau, dan mengenakan sarung tangan putih, dan sepatu merah dan putih."
1053677,sarung,1201,"Mulai tahun 1998, kendati tetap mengenakan ikat kepala merah dan sarung tangan putih, ia sekarang memakai gaun halter-top tanpa lengan yang berwarna merah dengan garis hiasan putih pada bagian rok, dan sepatu bot merah dengan garis putih vertikal pada bagian depan masing-masing pasangan, dan juga dua gelang emas pada sarung tangannya."
1053681,sarung,1201,"Untuk sarungnya, biasanya terbuat dari kayu yang dilapisi oleh kulit atau logam."
1053683,sarung,1201,"Tempat penyimpanan shuriken dan perban di kaki kanannya telah hilang dan kini dia memakai sarung tangan tanpa jari berwarna coklat, dengan pelindung dahinya telah berganti dengan warna yang sama dan sendal shinobinya telah berganti dengan sendal berwarna hitam ujung terbuka dengan hak yang rendah, dan meluas ke pergelangan kaki yang lebih rendah; segalanya masih referensi untuk budaya Cina."
1053685,sarung,1201,"Dia mengenakan standar Konoha-nin seragam dengan sepasang sarung tangan, jaket antipeluru, perban di lengan kanannya, dan penambahan lengan pendek putih khas yang memiliki tepi merah dan puncak standar Uzushiogakure di atasnya."
1053692,sarung,1202,Produksi sarung goyor berpusat di dukuh wonosari.
1053695,sarung,1201,"Setelah tiba di rumah Goku, dia memperoleh pakaian baru dari lemari Chi-chi yakni sebuah baju putih berlengan pendek dengan atasan rompi hitam, sepasang jeans biru, sarung tangan hitam dengan gelang di lengan kiri dan sepatu flat hitam dengan kaus kaki oranye."
1053701,sarung,1201,"Iaido dikaitkan dengan pengendalian gerakan menarik pedang secara halus, dari sarung pedang atau juga disebut saya, dan digunakan untuk menyerang dan memotong lawan."
1053703,sarung,1202,"Mempelai pria memakai jas Rebet, kain sarung plakat, Hem, Jas, serta kopiah."
1053706,sarung,1201,Togemon merupakan digimon berbentuk kaktus dengan sarung tinju.
1053709,sarung,1202,"Mereka beradaptasi dengan kebudayaan Nusantara antara lain dengan mengganti pakaian mereka dengan pakaian suku Nusantara seperti baju kurung dengan kebaya, celana dengan sarung."
1053711,sarung,1201,"Jamur ini tumbuh di hutan peluruh dan konifer dan perkebunan, membentuk asosiasi ektomikoriza simbiotik dengan pohon-pohon hidup dengan membungkus akar bawah tanah pohon dengan sarung jaringan jamur."
1053713,sarung,1201,"Kayu mahang damar tidak banyak dimanfaatkan; paling-paling sebagai sarung alat-alat pemotong, atau kayu bakar."
1053714,sarung,1202,"Dari tubuh jenazah, ditemukan satu ransel, tiga bom lontong, satu gergaji, satu botol obat, satu terpal, satu baju loreng, satu sarung yang dibuat menjadi tempat tidur gantung, dua KTP atas nama Habib Zakaria dan Abdul Majid, satu kartu keluarga, dan bahan makanan seperti nasi, beras, juga pepaya."
1053719,sarung,1201,"Ciri khas utama dari karakter Captain Commando adalah memakai kostum futuristik berwarna biru dengan rompi putih, bisa berganti kostum dengan cepat menggunakan semacam peralatan mirip lensa, serta memakai peralatan berupa sarung tangan berelemen api dan listrik untuk bertarung."
1053722,sarung,1201,"Anggota medis Hopkins banyak meraih pencapaian 'pertama' pada masa awalnya: merupakan sekolah media utama pertama di AS yang menerima wanita; pertama dalam penggunaan sarung tangan karet dalam operasi; pertama yang mengembangkan dialisis renal, dan CPR."
1053724,sarung,1201,"Pelempar dan ""fielder"" hanya memakai seragam biasa, sementara kedua pemukul dan ""wicket-keeper"" memakai tambahan aksesoris pelindung yang mencakup helm, sarung tangan, dan bantalan kaki."
1053728,sarung,1202,"Galeri I berisi karya-karya Affandi mulai dari awal hingga akhir kariernya, selain itu terdapat beberapa benda yang berhubungan dengan hidup Affandi seperti sepeda ontel, mobil sedan kuno, sandal jepit, kuas, ember, kain sarung, kliping berita koran, dan foto-foto."
1053729,sarung,1201,Seluruh kiper memakai sarung tangan desain khusus untuk menangkap bola dan melindungi jari tangan dari cedera.
1053738,sarung,1201,"Kewaspadaan universal merujuk pada menghindari kontak dengan kelenjar tubuh pasien, yang berarti menggunakan beberapa alat seperti sarung tangan medis dan masker."
1053741,sarung,1202,"Demikian juga sebutan warna sarung Donggala didasarkan pada warna alam,seperti warna Sesempalola / kembang terong (ungu), Lei-Kangaro/merah betet (merah-jingga), Lei-pompanga (merah ludah sirih)."
1053743,sarung,1201,"Karet butil, fluoroelastomer, neoprena, atau sarung tangan latex tebal (15 mil) direkomendasikan."
1053745,sarung,1201,Bulir dan pori-pori yang ada di permukaan sarung tangan memberikan kemampuan yang unik untuk membantu pemakainya untuk lebih mencengkeram kemudi dan tongkat persneling.
1053750,sarung,1201,Beberapa pemilik mobil klasik masih memakai mengemudi sarung tangan untuk melindungi setir kayu antik.
1053751,sarung,1201,"Karena kulit menyusut jauh bila terkena api, penggunaannya di sarung tangan balap biasanya hanya terbatas pada daerah sentuhan tangan."
1053753,sarung,1201,Para pembalap diajang seperti Formula Satu atau IndyCar diwajibkan memakai sarung tangan dengan warna yang mudah terlihat dan berbeda dengan warna baju balap mereka.
1053758,sarung,1201,"bersama dengan sarung lumut dan benda-benda Arajang/kebesarannya yang serba emas, seperti periuk emas, sendok nasi emas, periuk sayur emas, dan peralatan dapur lain-lainnya yang terbuat dari emas."
1053759,sarung,1201,"Konflik itu semakin dipertajam oleh Comte Vid; ""Kronik Piktum"" menceritakan bagaimana comte tersebut menghasut raja muda itu melawan sepupunya dengan mengatakan bahwa sebagai ""dua pedang tajam tidak dapat disimpan di dalam sarungnya yang sama"", sehingga raja dan adipati ""tidak dapat memerintah bersama di kerajaan yang sama""."
1053761,sarung,1201,Labu kemudian bisa dikeluarkan dari kotak sarung tangan dan dibawa ke garis Schlenk.
1053763,sarung,1201,"Selain itu, semua bom Schlenk dirancang untuk menahan perbedaan tekanan yang diciptakan oleh ruang ante saat memompa pelarut ke dalam kotak sarung tangan."
1053764,sarung,1201,"Akhirnya terungkap bahwa Nana menculik Dutta dan bahwa dia memegang sarung tangan dengan Kalavati, yang ingin memegang Patilwadi."
1053769,sarung,1202,"Jika di Indonesia sarung identik dengan kegiatan keagamaan seperti sholat, longyi merupakan pakaian sehari-hari dan bahkan resmi di Myanmar."
1053770,sarung,1201,"Hard Guardian adalah Guardian yang diciptakan dengan banyak peningkatan dan kekuatan dari Guardian biasa, yang dipersenjatai dengan senjata gatling pada lengan kanan, sarung tangan cakar yang terpasang pada lengan kiri, dan meriam rudal yang terpasang pada bahu."
1053772,sarung,1201,"Beberapa peralatan lain yang penting bagi pendaki adalah kompas, kacamata hitam, baju hangat, topi, sarung tangan, tongkat untuk mendaki, senter, peralatan P3K, pemantik api dan sebuah pisau."
1053773,sarung,1201,"Antartindak pilot-dan-tampilan memanfaatkan sentuhan, dalam hal ini pilot menggunakan sarung tangan kulit berlapis sutera."
1053774,sarung,1201,"Disana jelas terlihat pendahulu dari seragam tiga warna masa kini yang dilengkapi dengan penutup sepatu bot, sarung tangan putih, kerah tinggi berkerut-kerut, dan sebuah baret hitam atau sebuah ""morion"" (helm tentara khas abad ke-16/17) berwarna hitam (berwarna perak mengkilat untuk upacara-upacara khusus)."
1053775,sarung,1202,"Sebagai perwujudan dari ""lari"" atau menghias adalah pakaian para penari yang terdiri atas kain, manik-manik, hiasan sanggul, logam berukir untuk gelang, kalung, dan hiasan sarung."
1053777,sarung,1201,"Berbeda dengan Cross-Z Dragon yang tidak bisa dilepas saat dalam wujud Rider, Cross-Z Magma Knuckle dapat dilepas dari Build Driver saat pengguna dalam wujud Rider dan dipasang pada tangan kanan layaknya sarung tinju logam untuk menghasilkan pukulan terkuat dengan semburan api magma yang sangat panas yang dapat membakar lawannya."
1053778,sarung,1201,"Tidak hanya sekedar alat transformasi, Cross-Z Magma Knuckle dapat dilepas dari Build Driver dan dipasang pada tangan kanan layaknya sarung tinju logam untuk menghasilkan pukulan terkuat dengan semburan api magma yang sangat panas yang dapat membakar lawannya."
1053784,sarung,1201,"Sebuah rantai yang terbuat dari perak atau kuningan menghubungkan sarung pichangatti dengan berbagai implement yang digunakan sebagai: tusuk gigi, pinset, pembersih telinga, penusuk, dan artikel untuk membersihkan kuku."
1053786,sarung,1201,Seringkali terdapat stylus bertatahkan perak dibawa didalam sarung pisau piha kaetta.
1053789,sarung,1201,"Kedudukan para abbas makin lama makin menghampiri kedudukan para uskup, dan tanpa menghiraukan larangan konsili-konsili awal serta protes-protes dari St. Bernardus serta pihak-pihak lain, mereka mulai mengadopsi insignia episkopal yakni mitra, cincin, sarung tangan dan kasut."
1053790,sarung,1201,"Sarung tangan yang digunakan dalam pesäpallo berbeda dari yang digunakan dalam bisbol baik dalam karakteristik dan penampilan, lebih menyerupai sarung tangan kiper dalam hoki."
1053792,sarung,1201,Pengemudi harus mengenakan sarung tangan yang mengandung sensor biometrik yang mencatat tanda vital mereka untuk membantu petugas keamanan dan kru pemulihan dalam menilai kondisi mereka jika terjadi kecelakaan.
1053795,sarung,1202,"Unsur lain adalah baju putih, tangang, untaian gelang pada lengan, cincin, kain sarung, genit rante, celana, ponok yakni semacam keris yang diselipkan di pinggang."
1053799,sarung,1202,"Kostum tarian ini adalah pakaian adat daerah kolaka yaitu baju lengan panjang tidak berleher dengan bukaan di depan dan berhias manik-manik disepanjang pinggirannya, sarung panjang sampai mata kaki, selendang, sanggul yang dihiasi rangkaian bunga pinang goyang,anting-anting panjang terurai, gelang tangan, kalung panjang terurai dan perhiasan lainnya."
1053802,sarung,1201,Ia terkena radang dingin ketika ia berusaha mencari tabung di dalam salju tanpa sarung tangan.
1053803,sarung,1201,Lalu Stalin mencium sarung pedang tersebut dan mengucapkan terima kasih.
1053805,sarung,1202,"Tradisi menenun sarung donggala atau buya sabe bahasa Kaili, lipa sabbe bahasa bugis dari generasi ke generasi diwariskan masyarakat donggala."
1053806,sarung,1201,"Salah satu prinsip utama dalam menggunakan k?la dan untuk mewujudkan esensi-kualitas yaitu untuk mencungkil bumi dengannya; membalut dengan sarung ; atau sebagaimana yang sudah lumrah dengan syamanisme Himalaya, untuk mencungkil secara vertikal, mengarahkan ke dalam sebuah keranjang, mangkuk, atau tembolok dari beras (atau biji-bijian lunak lainnya jika k?la terbuat dari kayu)."
1053812,sarung,1201,"Keris sebagai senjata dan alat upacara dilindungi oleh sarung keris atau ""warangka""."
1053813,sarung,1201,"Warangka, atau sarung keris (bahasa Banjar : ""kumpang""), adalah komponen keris yang mempunyai fungsi tertentu, khususnya dalam kehidupan sosial masyarakat Jawa, paling tidak karena bagian inilah yang terlihat secara langsung."
1053814,sarung,1201,"Selain itu, diperlukan sarung tangan anti bakar bagi operator sebab terkadang gas panas keluar dekat bagian senjata yang dipegang di depan dan beresiko membakar tangan operator ketika digunakan."
1053816,sarung,1201,"Penggunaan sarung tangan dan masker tahan api, bersama dengan respirator jika perlu, dianjurkan untuk menghindari masalah kesehatan kerja dari paparan xilena."
1053817,sarung,1201,Inskripsi Bergakker adalah inskripsi yang ditemukan dalam sarung pedang dari abad ke-5 di sebuah kota yang bernama Bergakker di dekat kota Tiel di Belanda pada tahun 1996.
1053820,sarung,1202,"Selama di ""Posune"" sang gadis yang sedang ""Pinamou"" hanya dibekali dengan bambu untuk tempat tidur, kain sarung, piring yang dibuat dari daun sagu, dan batu tungku untuk memasak."
1053822,sarung,1201,"Alasannya, sang preman memakai sarung tangan mirip punya Shadow."
1053826,sarung,1201,"Tidak seperti cestus, sarung tinju melindungi kedua lawan, dan diadopsi sebagai peralatan wajib atas tinju tangan telanjang yang ada sebelumnya."
1053827,sarung,1202,"Selain pakaian batik, los pasar bagian barat juga menawarkan baju surjan, blangkon, dan sarung tenun maupun batik."
1053828,sarung,1202,Kain-kain tersebut dikenakan sebagai sarung setinggi dada dengan bagian bahu tertutup taba huku.
1053830,sarung,1201,"Sebagian besar perusahaan-perusahaan ini menggunakan sebuah Format ""Datang dan menyetir"" dan menyediakan pelanggan dengan semua perlengkapan keamanan (helm, sarung tangan dan pakaian sopir) dan memungkinkan mereka untuk datang setiap waktu untuk balapan dengan harga terjangkau, tanpa kerumitan harus memiliki peralatan sendiri dan perlengkapan."
1053835,sarung,1201,"Algojo juga dikehendaki memakai smock perlindungan, sarung tangan dan cermin mata, karena ditakutkan daging dan darah pesalah HIV terkenanya."
1053840,sarung,1201,Kemudian Ken Arok menguji Keris tersebut dan terakhir Keris tersebut ditusukkannya pada Mpu Gandring yang konon menurutnya tidak menepati janji (karena sarung keris itu belum selesai dibuat) selebihnya bahkan dikatakan untuk menguji kemampuan keris tersebut melawan kekuatan supranatural si pembuat keris (yang justru disimpan dalam keris itu untuk menambah kemampuannya).
1053844,sarung,1202,"Penampilan yang unik dengan mengenakan sarung di panggung, menjadi salah satu daya tarik mereka."
1053846,sarung,1202,"Penampilan yang unik dengan mengenakan sarung dan baju gombrong di panggung, menjadi salah satu daya tarik mereka."
1053852,sarung,1201,"Ia dikenal sebagai ""bapak kondom"" karena pada pertengahan tahun 1500 ia membuat sarung linen yang berukuran pas (fit) di bagian penis dan melindungi permukaan kulit."
1053857,sarung,1201,"Anton Gabrielle alias The Wonderboy (Robertino) sang juara tinju, terpaksa menggantungkan sarung tinjunya."
1053858,sarung,1202,"Laskar Tator juga mempunyai kebiasaan memakai sarung tetapi diselempang (Massuleppang Lipa) sehingga bila terjadi pertempuran dimalam hari kedua pasukan sulit dibedakan yang mana lawan dan kawan, dikira lawan padahal kawan karena baik laskar Tator maupun Bone masing-masing memakai sarung."
1053860,sarung,1201,"Dalam penelitian ini ditemukan bahwa secara individual mencuci tangan dengan sabun, menggunakan masker, sarung tangan dan pelindung lebih efektif untuk menahan laju penyebaran virus ISPA, dan lebih efektif lagi bila dikombinasikan."
1053861,sarung,1201,"Dengan pakaian kemeja ketat ala Jill Valentine, dan sarung tangan yang hanya dilepas ketika ia makan dan mandi, sebenarnya May tidak suka dengan yang namanya Pokemon, namun ia mulai tertarik dengan Pokemon saat melihatnya di Kontes Pokemon."
1053862,sarung,1201,Ia juga memakai ikat kepala dan sarung tangan yang hanya dilepas ketika ia makan atau mandi.
1053863,sarung,1201,"Sedangkan dalam video game Pokemon Emerald, penampilannya nyaris sama dengan di versi serial TV Pokemon: Diamond and Pearl, namun kali ini ia memakai kemeja warna orange tanpa lengan, dengan sedikit perubahan pada sarung tangan yang ia pakai."
1053865,sarung,1201,"Jika Misty identik dengan tank top warna kuning, sementara May dengan kemeja merah dan sarung tangan, maka Dawn tampil berbeda dengan mereka berdua."
1053867,sarung,1202,"Selempang tersebut menahan sarung Zanpakutou yang terletak di punggungnya, yang diikat oleh kedua ujung selempang hijau tersebut."
1053869,sarung,1201,"Saat pedangnya dilepas dari sarungnya, sarung pedangnya jadi tak terlihat."
1053872,sarung,1202,"Ikut membaur dengan masyarakat Singaraja, selalu mengenakan sarung dan jarang memakai baju."
1053873,sarung,1201,"Meskipun salah satu pengikut Yesus mengeluarkan pedang, dan memotong telinga dari salah satu pria bersenjata, Yesus menegurnya dan mengatakan ""Masukkan pedang itu kembali ke dalam sarungnya, sebab barangsiapa menggunakan pedang, akan binasa oleh pedang."""
1053875,sarung,1202,Hanya kain sarung tenun kalimantan yang digunakan terakhir kalinya yang ditemukan warga beberapa minggu setelah eksekusi.
1053890,sarung,1201,"Untuk hasil industri yakni moulding, ban kendaraan dan sarung tangan karet."
1053891,sarung,1202,"Kain Tapis adalah pakaian wanita suku Lampung yang berbentuk kain sarung terbuat dari tenun benang kapas dengan motif atau hiasan bahan sugi, benang perak atau benang emas dengan sistem sulam (Lampung; ""Cucuk"")."
1053896,sarung,1202,Saat-saat terakhir sebelum proses audisi dia bekerja di sebuah usaha distribusi kain sarung dan juga berjualan ayam goreng di depan TMP Kalibata Jakarta.
1053899,sarung,1202,Rimpu adalah cara berbusana masyarakat Bima yang menggunakan sarung khas Bima.
1053900,sarung,1202,Rimpu merupakan rangkaian pakaian yang menggunakan dua lembar (dua ndo`o) sarung.
1053901,sarung,1202,Kedua sarung tersebut untuk bagian bawah dan bagian atas.
1053909,sarung,1202,"Hasil Kerajinan yang bernuansa Islam juga dihasilkan oleh masyarakat Kota Gresik, misalnya kopyah, sarung, mukenah, sorban dan lain-lain."
1053910,sarung,1202,"Dikisahkan bahwa penjual (seorang pria) yang menjajakan nasi tersebut dengan cara berkeliling, memakai sarung."
1053917,sarung,1201,Selain itu sarung tangan juga dipakai sebagai hiasan atau untuk alasan mode.
1053920,sarung,1202,"Koleksi museum ini terdiri berbagai batik gaya Yogyakarta, Solo, Pekalongan, dan gaya tradisional lainnya dalam bentuk kain panjang, sarung, dan sebagainya."
1053926,sarung,1202,"Dalam perkembangannya, perempuan Melayu memakai sarung dengan model ""berkemban"" yakni melilitkan sarung di sekeliling dada."
1053927,sarung,1202,"Baju kurung yang dipakai kaum perempuan dipakai dengan kain sarung berikatan ""ombak mengalun""."
1053932,sarung,1202,Mirip dengan cara memakai sarung untuk keperluan sehari-hari.
1053933,sarung,1201,"Perenang tidak dibolehkan memakai alat atau pakaian renang yang dapat memengaruhi kecepatan, daya apung, atau ketahanan selama berlomba, misalnya sarung tangan berselaput, kaki katak, sirip, dan sebagainya."
1053934,sarung,1202,"Mulanya ulos dikenakan di dalam bentuk selendang atau sarung saja, kerap digunakan pada perhelatan resmi atau upacara adat Batak, namun kini banyak dijumpai di dalam bentuk produk sovenir, sarung bantal, ikat pinggang, tas, pakaian, alas meja, dasi, dompet, dan gorden."
1053936,sarung,1202,"Sehelai sarung menutupi pinggang hingga kaki dan baju tipis longgar dari kain muslin, memperlihatkan payudara dan leluk-lekuk dada."
1053939,sarung,1202,Uncle Muthu biasa mengenakan singlet dan sarung.
1053947,sarung,1202,"Masjid ini terkenal unik karena memiliki aturan-aturan adat yang tegas, seperti larangan memakai sarung atau wajib mengenakan celana panjang bagi para jamaahnya, kewajiban memakai penutup kepala (kopiah), serta larangan bagi perempuan untuk beribadah di masjid ini."
1053950,sarung,1201,"Seharusnya, ketika petarung Muay Thai tradisional bertarung dengan tangan terikat tali (bukan sarung tinju petarung modern), teknik khusus ini akan berpotensi untuk melukai dengan cara memotong dan menyilet oleh lawan waspada yang akan mem-blok atau menangkis dengan ""sarung tangan-tali"" yang bertepi tajam yang kadang-kadang dicelupkan ke dalam air untuk membuat tali lebih kuat."
1053951,sarung,1201,"Foto tersebut menunjukkan Kardashian dengan rambutnya diikat sanggul, hanya memakai kalung mutiara, sepasang anting dan sarung tangan satin hitam, dan di sampulnya, dengan punggungnya yang telanjang menghadap ke kamera, memegang gaun sequin di bawah bokongnya yang telanjang dan berminyak, sambil tersenyum lebar di depan kamera."
1053955,sarung,1201,Pembuat sushi diharuskan memakai sarung tangan dari karet atau plastik.
1053957,sarung,1201,"Walaupun demikian, sushi di toko-toko swalayan di Jepang umumnya dibuat dengan memakai sarung tangan."
1053960,sarung,1202,"Di akhir pertapaannya, Lambu Mangkurat menemukan sebuah buih besar yang didalamnya terdengar suara yang meminta Lambu Mangkurat untuk menyediakan kain sarung yang ditenun oleh 40 orang gadis dan perahu indah untuk membawa gadis jelita tersebut ke Istana."
1053971,sarung,1201,Tangan kirinya selalu terbungkus sarung tangan hitam.
1053972,sarung,1201,"Jika tidak sedang memakai sarung tangan, maka tangan kirinya digambarkan berwarna ungu (dalam anime) dengan bentuk tak wajar, bercakar hitam panjang."
1053974,sarung,1201,"Seragam Hogwarts yang terdiri dari jubah kerja sederhana berwarna hitam polos, topi hitam polos, sepasang sarung tangan pelindung, dan jubah musim dingin hitam dengan ikat perak."
1053976,sarung,1202,"Lungi, juga dikenal sebagai sarung, adalah pakaian yang dikenakan di pinggang."
1053977,sarung,1202,"Para pria sehari-hari mengenakan kain sarung, berbaju koko putih, dan berkopiah."
